icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,epoch_time,date,time
8460b0,JAL500  ,Japan,1659915689.0,1659915689,140.8225,38.5162,8549.64,False,245.77,190.98,-1.63,,9136.38,,False,0,1659915689,2022-08-07,19:41:29
a3355e,JBU1395 ,United States,1659915689.0,1659915689,-83.3703,42.7715,10363.2,False,236.51,290.37,0.0,,11041.38,3411,False,0,1659915689,2022-08-07,19:41:29
740735,RJA612Z ,Jordan,1659915689.0,1659915689,53.7852,25.8339,7680.96,False,218.4,111.12,-9.1,,8176.26,,False,0,1659915689,2022-08-07,19:41:29
ab3c58,DAL777  ,United States,1659915689.0,1659915689,-80.9858,28.0202,9822.18,False,240.96,346.79,4.88,,10393.68,,False,0,1659915689,2022-08-07,19:41:29
a4b827,DAL220  ,United States,1659915689.0,1659915689,-87.6964,47.4742,11887.2,False,285.36,60.75,0.0,,12534.9,,False,0,1659915689,2022-08-07,19:41:29
a3dec3,N349AF  ,United States,,1659915397,,,1356.36,False,56.53,103.15,-5.2,,1493.52,,False,0,1659915689,2022-08-07,19:41:29
ab3c61,DAL425  ,United States,1659915689.0,1659915689,-90.9013,44.4879,8587.74,False,230.71,292.28,-6.5,,9144.0,5773,False,0,1659915689,2022-08-07,19:41:29
a2abc6,N271SC  ,United States,1659915670.0,1659915670,-96.5275,32.7659,304.8,False,32.45,267.27,-0.33,,358.14,,False,0,1659915689,2022-08-07,19:41:29
780b79,CES5649 ,China,1659915684.0,1659915684,124.0095,39.8208,10972.8,False,234.91,198.51,6.83,,11643.36,,False,0,1659915689,2022-08-07,19:41:29
abaed8,N852AT  ,United States,1659914929.0,1659915615,-97.1914,33.2281,274.32,False,59.99,292.17,-0.65,,358.14,1200,False,0,1659915689,2022-08-07,19:41:29
a84742,PJC32   ,United States,1659915689.0,1659915689,-86.4602,36.1473,13106.4,False,243.7,266.85,0.0,,13830.3,,False,0,1659915689,2022-08-07,19:41:29
3965a1,AFR055  ,France,1659915689.0,1659915689,-70.3129,42.5992,10668.0,False,247.79,43.74,0.0,,11323.32,0540,False,0,1659915689,2022-08-07,19:41:29
